county,date,bars_visit_prop,completely_home_prop,full_time_work_prop,median_home_dwell_time,part_time_work_prop,restaurants_visit_prop,sgCH_ks,sgCH_sm,sgCH_roll7,sgFT_ks,sgFT_sm,sgFT_roll7,sgPT_ks,sgPT_sm,sgPT_roll7,sgHD_ks,sgHD_sm,sgHD_roll7,sgRES_ks,sgRES_sm,sgRES_roll7
arapahoe,2020-04-16,4.7931904161626004,0.53336349943041,0.040516853655424,1049.0171568627,0.049204991547773,65.60060630152,0.46795340055707696,0.45594969170427724,0.5006274484461014,0.03463859318149329,0.03798475832638198,0.03523976916800228,0.051230826911068644,0.05599206525322899,0.049303073965763146,967.2168863801422,975.7771960955426,1016.5325630252,92.03317100840077,94.09098046962626,82.38980346601272
arapahoe,2020-04-17,1.9542741486098,0.44357115751906,0.034506600439767,981.36274509804,0.047756479189646,117.98208731347,0.4654224580401667,0.4547707423761915,0.5004246358762271,0.034726096618896043,0.037807462203092154,0.03510065618225157,0.05151041621200607,0.055855255431243325,0.04813125232829143,963.2716468118695,971.1141352674699,1027.2300420167971,93.13205529197714,94.98340381952113,83.06094274772128
arapahoe,2020-04-18,1.4194581337764,0.45414771063914,0.027348273396039,1043.4460784314,0.044691596222928,117.79357391618,0.4625796707444145,0.4533934729494755,0.5018219287538215,0.034818644071823245,0.037645802012839485,0.03560147602560014,0.05181546627648336,0.055751587832457414,0.048219524320560855,958.4009405982982,965.1894338619427,1037.2062324929914,94.33252166754428,95.9424104535166,83.35376046131414
arapahoe,2020-04-19,1.7760021436653,0.47442689711013,0.031050457897568,1070.4509803922,0.04784641395216299,84.803013750458,0.459488122162956,0.45183609101315986,0.4852939943797828,0.03491279937805357,0.03749922204628639,0.03669798637737271,0.05213911357122271,0.05567943883050646,0.050148598366033144,952.7186531038848,958.1845784198812,1026.67822128852,95.6110955372935,96.96149988440816,88.11461627782786
arapahoe,2020-04-20,0.85003990066496,0.44662598232732,0.034173018758877,905.7941176470599,0.047473559246917,87.484791322818,0.45621779652089395,0.45011676828662295,0.4714457637359214,0.03500734335657517,0.037367173517304134,0.03593256388452486,0.05247585983437164,0.05563719109325938,0.049605299258061,946.3633079462558,950.3309509590426,1012.2783613445429,96.94439638376235,98.0346133661435,92.22830988757858
arapahoe,2020-04-21,2.2315181497511,0.4539019288983999,0.045101863971103,894.21078431373,0.064382151887609,96.850871856613,0.45284241923775076,0.448253417223628,0.4684458286857071,0.03510034892424128,0.03724911604197983,0.03702034596475214,0.052821819937329595,0.05562324137731147,0.05187889466871214,939.50175672117,941.8910515648658,994.0161064425757,98.30690658255499,99.15605652004787,94.54102678666644
arapahoe,2020-04-22,0.21351572655571,0.44012789594561,0.04011884560477199,893.70343137255,0.059342986056022,97.342219753841,0.4494315114857555,0.4462634708015425,0.46373786741001,0.03519114752119315,0.037144518989527635,0.03611655910336428,0.05317284546333723,0.055636008041878196,0.05152831115757971,932.3027923720093,933.1379117823803,976.8550420168115,99.67714749178091,100.32047134081913,95.40816631641428
arapahoe,2020-04-23,0.10675786327785,0.4383869233171,0.038700967779071,856.03921568627,0.059722434545428006,90.496858173821,0.44605217632203475,0.444163673229168,0.45016978510810857,0.035278451234713834,0.03705286270284604,0.03585714683531385,0.05352508257484241,0.055673938223843276,0.05303080301438757,924.9368436199342,924.3353395845484,949.2867647058929,101.03870702469851,101.5228385297813,98.964773726743
arapahoe,2020-04-24,3.7180822245254,0.42726265484849,0.035579528818851,863.32107843137,0.05744662800928999,127.62448437249,0.44275847765562376,0.4419698891797342,0.44783999901231286,0.03536157846940004,0.03697363958687434,0.03601042231804014,0.05387527916909394,0.05573551461236624,0.05441510998862243,917.5629545518357,915.7210859118308,932.4236694677971,102.38063968914228,102.75849331847589,100.34225902088872
arapahoe,2020-04-25,2.6568775652727,0.42241644014195,0.030393249532470995,944.2401960784299,0.05251817180984499,120.37144138182,0.43959545334045774,0.4396969385664038,0.4433069603698571,0.03543992516981248,0.03690635506326547,0.036445418908959,0.054220965017697825,0.05581926175976498,0.05553319221532486,910.3276006829462,907.4942091251239,918.25140056023,103.69993003162094,104.02314201430488,100.71052580169443
arapahoe,2020-04-26,0.85003990066496,0.45629355094256,0.023374070977076,988.00245098039,0.041498803534476,92.268376267928,0.43659319540336233,0.43735846285701147,0.4407164823459186,0.03551278416722854,0.03685052839022757,0.03534879220603157,0.05455970789208439,0.05592375186562091,0.054626390727083855,903.3506775297321,899.8070651475736,906.4730392156857,105.00029477791527,105.31287178646939,101.777006161333
arapahoe,2020-04-27,0.42703145311142,0.41640866867045007,0.03719419847949,868.51960784314,0.055012393851783,105.63666385713,0.4337633588267608,0.43496682753632576,0.43639972325208,0.03558054678626112,0.036805693346712534,0.035780389308976285,0.05488941899140824,0.05604760997338057,0.05570336709920757,896.7221475279322,892.7616643425741,901.1481092436971,106.29058406604939,106.62415197997313,104.37013080909186
arapahoe,2020-04-28,0.10675786327785,0.41254242174347994,0.041217774581294,864.81862745098,0.060862386777564004,101.82996505437,0.43110456434375666,0.4325330636587806,0.43049122222994857,0.035643404019370876,0.03677139878047274,0.035225519396146425,0.05521012876764674,0.056189518523203225,0.05520054351205828,890.502508707184,886.4097236673383,896.9492296918756,107.5841989039555,107.95383073498948,105.08142983734285
arapahoe,2020-04-29,4.8907466829919,0.40273444221813,0.035310637707383,828.0294117647098,0.054558242232566,98.83443773327,0.42860176865081095,0.43006684960293023,0.42514930026888,0.035701796062598955,0.036747209019887275,0.03453863255366228,0.055520588751461285,0.05634822121136166,0.054517008680136,884.7172162783983,880.7556122214363,887.5672268907557,108.89600135136976,109.29913518370536,105.29460383440414
arapahoe,2020-04-30,2.1271112544413,0.3854017880776,0.034903224984445,774.48529411765,0.055649782666848,105.89782382496,0.42622836935364816,0.42757653226218506,0.4175799952346657,0.03575597562838492,0.036732704149901485,0.03399609786871571,0.05582077855161666,0.05652252611497652,0.053935201268910285,879.3628729035772,875.7614607673635,875.9166666666671,110.24085724501727,110.65768640425821,107.49474178456686
arapahoe,2020-05-01,3.2950737769718,0.42606479369468003,0.040888711720852004,816.62745098039,0.063057712280221,141.16245027423,0.4239511742306882,0.42506918510670477,0.41740887221269285,0.03580617942763276,0.036727480152944816,0.03475455256900157,0.05611088171967099,0.05671130805097994,0.05473678473618614,874.4112185557151,871.3538601479606,869.2461484593842,111.62951340780495,112.02754122386325,109.42873691338686
arapahoe,2020-05-02,2.5501197019949,0.44345881796652,0.030890751020996,894.31617647059,0.056391640122169996,119.81813315707,0.4217350314063574,0.4225506989421338,0.42041492618763143,0.035852783876952635,0.03673114891631315,0.03482562421021943,0.05639142414659287,0.05691351014961317,0.05529013735223257,869.8144748150672,867.4317003370035,862.1141456582643,113.0690512009628,113.40727170266884,109.34969288127971
arapahoe,2020-05-03,1.0635556272207,0.45073748687366,0.022570282332572997,953.04901960784,0.039040926542748,95.425227227584,0.4195428411249461,0.4200258998683183,0.41962120274921716,0.035895661331898074,0.03674333810822386,0.03471079726100471,0.056661957716679874,0.05712814463505743,0.0549390120677,865.5044462761206,863.8747431904035,857.1207983193285,114.55858937601273,114.79608976911122,109.800671589802
arapahoe,2020-05-04,1.9112445599176,0.44293445563347,0.04741682538003799,859.34068627451,0.064654215539322,95.785908292946,0.41733897476120957,0.4174986879772625,0.42341060088679144,0.035935377923569614,0.036763690925594915,0.03617117253251157,0.05692373810908157,0.0573542928185486,0.056316415165919856,861.4005281443905,860.5524837902248,855.8095238095243,116.08891930673263,116.1940193349446,108.39342079491857
arapahoe,2020-05-05,2.8703932918285,0.42974481879326,0.046511520714984,859.30392156863,0.067587018302246,104.36424534116,0.4150953530583245,0.41497218976783157,0.42586808617961713,0.03597248814341943,0.036791865717545426,0.03692742198018157,0.05717841556006963,0.05759110432208491,0.057277076812303,857.4218435352036,857.3327911483575,855.0217086834742,117.64368888160203,117.60211182597777,108.75546083588857
arapahoe,2020-05-06,1.1703134904985,0.42561168619545,0.038859194259041,854.7794117647098,0.06262140754066,109.04418501104,0.41278905479180544,0.4124489171077494,0.42913626389066284,0.0360077129137641,0.036827535489669196,0.03743435863041843,0.05742696425144944,0.057837795563188646,0.058428957570602146,853.482854920536,854.0897958923744,858.8431372549028,119.19979459859913,119.02269411425934,110.21399616128429
arapahoe,2020-05-07,2.8680423238604,0.40729710155098,0.033821635400923,839.44362745098,0.054043105760587,111.55319333942,0.410408441153968,0.40993092582396917,0.4322641658154314,0.03604138816080781,0.03687038729527312,0.037279845832772426,0.057670784763291225,0.05809364754273581,0.05819943229827915,849.5040096636511,850.7105557364727,868.1228991596643,120.73168961672908,120.45963110760616,111.02190609192142
arapahoe,2020-05-08,1.8068376646078,0.38903348651002007,0.039416877163801,823.2794117647098,0.062827976668539,148.55201648189,0.4079474394175153,0.4074199676060938,0.4269739790747657,0.03607429521791253,0.036920121520979704,0.03706958375319371,0.057911830705522555,0.05835800298830491,0.058166612925181715,845.4148883412787,847.1001822749904,869.0731792717099,122.2117268816686,121.9185795274951,112.07755840730142
arapahoe,2020-05-09,3.4001596026599,0.37908214680297,0.027382887420885,850.50245098039,0.050838946658951,140.94673987778,0.4054102355875077,0.4049176297979408,0.41777731176568716,0.03610690945560068,0.03697645107534224,0.03656846038174928,0.058151196355050096,0.05863026291454176,0.057373371001864716,841.1606776542895,843.1853168746266,862.8140756302528,123.61792561496709,123.40720539550847,115.09593079597428
arapahoe,2020-05-10,4.2501995033248,0.41662893461395994,0.026632523865428,911.35784313725,0.05416140361157,174.78090449437,0.40280669186342016,0.40242545874801466,0.41290466144287286,0.03613977175424573,0.03703910049037972,0.03714878060072857,0.05839106788857526,0.058909882669516925,0.05953343915455357,836.6974309161654,838.9160388919042,856.8581932773113,124.93741072504812,124.9353360121847,126.43245611980086
arapahoe,2020-05-11,4.6772309564362,0.43389777230261,0.04012188099425901,852.49264705882,0.055653773714044,107.63377656306,0.40014774214681065,0.3999450636012001,0.4116137066813214,0.03617393671160359,0.03710780494717139,0.03610664568847443,0.05863304944647932,0.05919636754183863,0.05824766175094243,831.9957378663311,834.266420438892,855.8799019607842,126.16648084849243,126.51501810497714,128.12500872981715
arapahoe,2020-05-12,1.3838292170542,0.39051611942615,0.037516672605361,818.81617647059,0.05822926249056401,120.79291291498,0.3974556298628133,0.39747819865192147,0.40600960677173425,0.03621033090541144,0.0371823092378262,0.034821667387099714,0.058879397046505834,0.05948926800734072,0.056910839492130716,827.0539234634393,829.2339800427382,850.09593837535,127.31420735091737,128.1604574570035,130.47196124036284
arapahoe,2020-05-13,3.0839090183842,0.39182545050895,0.043413578345072,815.12009803922,0.06598639693036,115.48580260158,0.3947475640127119,0.3950268235607603,0.40118300167366283,0.036250350216085137,0.03726236667721816,0.03547229368510414,0.059131923918721616,0.059788174696513666,0.05739155226208786,821.8732595130408,823.8382413935987,844.4303221288515,128.40338968481916,129.8878215643245,131.39219232472573
arapahoe,2020-05-14,2.7612844605825,0.37901597881532,0.036373833660686,834.62009803922,0.058539741192903,125.8044909844,0.39204021309468573,0.3925931417925262,0.39714284128285426,0.036294976476054244,0.03734773797882551,0.03583689343649886,0.05939259655373957,0.060092713164559934,0.058033928752418716,816.4748418026154,818.1185131284299,843.7412464985999,129.46906848127153,131.7148953231849,133.42809198829428
arapahoe,2020-05-15,5.3137551305455,0.37974314004587,0.041129452887625,784.45343137255,0.06697865864583,144.35904063176,0.38934886231138016,0.39017961851190675,0.3958156489308329,0.036345376901448775,0.03743819010979021,0.03608154711133086,0.05966292879296639,0.060402538545164544,0.058626883320603146,810.8899599488537,812.1309259121074,838.1946778711485,130.5564800837231,133.66058982688295,132.82909543827571
arapahoe,2020-05-16,2.5501197019949,0.36200106574778007,0.026419857444131,822.03676470588,0.05091529805480301,135.56824250417,0.38668963610662904,0.3877889798410982,0.39337549449437714,0.03640281305726781,0.037533495140905086,0.035943971400366,0.059944525382852866,0.060717330166932405,0.058637790662867714,805.1656023288238,805.9447415068103,834.1281512605043,131.72148458821488,135.74431530175715,132.06073867061713
arapahoe,2020-05-17,4.5704730931584,0.41793906617976007,0.026812524629142,865.1887254901999,0.050955294787285,122.3575029346,0.38407170949318986,0.38542419583095944,0.3935626561466343,0.036468450921223874,0.03763342910760311,0.03596968579518229,0.06023847572989562,0.06103678620814224,0.05817977511654129,799.350253608383,799.6380072701083,827.5325630252114,133.0281113580351,137.98524018193734,124.57168130493571
arapahoe,2020-05-18,0.74730504294498,0.38047019796830994,0.043305799267902,765.9019607843101,0.068032050230469,119.63859650242,0.3815014877443811,0.38308844973168615,0.3859301455274486,0.03654315353785044,0.037737770898159814,0.03642453126284557,0.060545105582154306,0.061360618461197836,0.05994810033317343,793.4991678289407,793.2927566000216,815.1624649859957,134.54205744167004,140.40146843128252,126.28665558198715
